Small.Molecule.Name,Dose,ABL1,ABL2,BLK,BRAF,CIT,CSF1R,CSK,DDR1,DDR2,EPHA2,EPHA3,EPHA4,EPHA5,EPHA8,EPHB1,EPHB2,EPHB3,EPHB4,FRK,FYN,HCK,KIT,LCK,LYN,MK14,MK11,PGFRA,PGFRB,PTK6,RAF1,SRC,TNNI3K,TXK,YES,MLTK,TRKC,AAK1,ACVR1,ACVR1B,ACVR2A,ACVR2B,ACVRL1,ADCK3,ADCK4,AKT1,AKT2,AKT3,ALK,AMPK-alpha1,AMPK-alpha2,ANKK1,NUAK1,M3K5,M3K6,AURKA,AURKB,AURKC,AXL,BIKE,BMPR1A,BMPR1B,BMPR2,BMX,BRSK1,BRSK2,BTK,CAMK1,CAMK1D,CAMK1G,CAMK2A,CAMK2B,KCC2D,CAMK2G,KCC4,KKCC1,CAMKK2,CDC2L1,CDC2L2,CDK11,CDK2,CDK3,CDK5,CDK7,CDK8,CDK9,CDKL2,CDKL3,CDKL5,CHEK1,CHK2,CLK1,CLK2,CLK3,CLK4,CSNK1A1L,CSNK1D,CSNK1E,KC1G1,KC1G2,CSNK1G3,CSNK2A1,CSNK2A2,CTK,DAPK1,DAPK2,DAPK3,DCLK1,DCAMKL2,DCAMKL3,M3K12,DMPK,DMPK2,DRAK1,DRAK2,DYRK1A,DYRK1B,DYRK2,EGFR,EPHA1,EPHA6,EPHA7,EPHB6,ERBB2,ERBB3,ERBB4,MK03,MK01,ERK3,ERK4,ERK5,ERK8,ERN1,FAK1,FER,FES,FGFR1,FGFR2,FGFR3,FGFR4,FGR,VGFR1,FLT3,FLT4,GAK,GRK1,GRK4,GRK7,GSK3A,GSK3B,HIPK1,HIPK2,HIPK3,HIPK4,M4K1,HUNK,ICK,IGF1R,IKKA,IKKB,IKKE,INSR,INSRR,IRAK1,IRAK3,ITK,JNK1,MK09,JNK3,LATS1,LATS2,LIMK1,LIMK2,LKB1,LOK,LTK,M3K13,MAK,MAP3K1,MAP3K15,M3K2,MAP3K3,MAP3K4,MAP4K2,M4K3,MAP4K4,MAP4K5,MAPKAPK2,MAPKAPK5,MARK1,MARK2,MARK3,MARK4,MAST1,MP2K1,MP2K2,MP2K3,MP2K4,MP2K6,MELK,MERTK,MET,MINK,MKNK1,MKNK2,MLCK,MLK1,MLK2,MLK3,MRCKA,MRCKB,MST1,MST1R,MST2,MST3,MST4,MUSK,MYLK,MYLK2,MYLK4,MYO3A,MYO3B,NDR1,NDR2,NEK1,NEK2,NEK5,NEK6,NEK7,NEK9,NIM1,NLK,OSR1,MK13,MK12,PAK1,PAK2,PAK3,PAK4,PAK6,PAK7,CDK16,PCTK2,PCTK3,PDPK1,CDK15,CDK14,PHKG1,PHKG2,PIK3C2B,PIK3C2G,PIK3CA,PIK3CB,PIK3CD,PIK3CG,PIK4CB,PIM1,PIM2,PIM3,PIP5K1A,PIP5K2B,PKAC-alpha,PKAC-beta,PKMYT1,PKN1,PKN2,PLK1,PLK2,PLK3,PLK4,KPCD,KPCE,KPCL,KPCT,KPCD1,KPCD2,KPCD3,KGP1,KGP2,PRKR,PRKX,PRP4,FAK2,SIK3,RET,RIOK1,RIOK2,RIOK3,RIPK1,RIPK2,RIPK4,ROCK1,ROCK2,ROS1,SBK1,SgK110,SIK1,SIK2,SLK,SNARK,SRMS,SRPK1,SRPK2,SRPK3,STK16,STK33,STK35,STK36,STK39,SYK,TAK1,TAOK1,TAOK2,TAOK3,TBK1,TEC,TESK1,TGFBR1,TGFBR2,TIE1,TIE2,TLK1,TLK2,TNIK,TNK1,TNK2,TRKA,TRKB,TSSK1,TTK,TYRO3,ULK1,ULK2,ULK3,VGFR2,WEE1,WEE2,YANK2,YANK3,YSK1,YSK4,ZAP70,ABL1-nonphosphorylated,ABL1-phosphorylated,CASK,CDC2L5,CDK4-cyclinD1,CDK4-cyclinD3,CDKL1,CSNK1A1,EIF2AK1,IRAK4,LRRK2,MP2K5,MP2K7,MTOR,NEK11,NEK3,NEK4,PIP5K1C,PI42C,KPCI,RIPK5,S6K1,SGK3,SNRK,TRPM6,VRK2,YANK1,BUB1,CSF1R-autoinhibited,FLT3-autoinhibited,HASP,KIT-autoinhibited,NEK10,SGK1,SGK2,WNK1,WNK3,PAK7/PAK5,MAP3K14,CAMK1B,BARK1,BARK2,FYV1,TSSK3,PIK3C3,WNK2,WNK4,CDK4,ARK5,ASK1,ASK2,BRK,CAMK2D,CAMK4,CAMKK1,CHEK2,CSNK1G1,CSNK1G2,DCAMKL1,DLK,ERK1,ERK2,FAK,FLT1,GRK2,GRK3,HASPIN,HPK1,IKK-alpha,IKK-beta,IKK-epsilon,JNK2,LZK,MAP3K2,MAP4K3,MEK1,MEK2,MEK3,MEK4,MEK5,MEK6,MKK7,NIK,PCTK1,PDGFRA,PDGFRB,PFTAIRE2,PFTK1,PIKFYVE,PIP5K2C,PRKCD,PRKCE,PRKCH,PRKCI,PRKCQ,PRKD1,PRKD2,PRKD3,PRKG1,PRKG2,PYK2,QSK,SGK,SIK,TSSK1B,VEGFR2,VPS34,ZAK,p38-alpha,p38-beta,p38-delta,p38-gamma
ALW-II-38-3,1,3.6,1,7.4,1.4,17,0.1,13,0.1,0.7,1,12,3.4,9.1,0.6,11,4,16,13,0.7,7,1.8,0,1.2,3.3,0.3,0,0.7,0,11,3,0.4,6,8.5,5.8,5.4,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
ALW-II-49-7,1,100,100,100,2,100,1.4,100,0.1,0,2.2,8.8,6.8,1.1,0.4,1.8,1.6,3.3,6.9,1.3,100,100,0,1.9,9.4,5,100,0.2,0.1,100,4.5,100,12,100,100,6.9,15,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Dactolisib,1,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,30,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,28,100,100,100,100,23,100,100,22,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,33,100,100,100,100,100,100,100,11,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,2.8,4.4,2.8,22,7.2,23,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,29,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
NVP-TAE684,1,7.3,1.4,0.1,100,100,0,2,0.1,14,27,100,30,21,100,0.1,33,18,17,0.2,5.6,0.4,0.1,0.1,5,100,100,0.9,0.3,0.2,100,0.2,15,6.9,0.1,100,100,2.8,0,0.1,12,22,1.7,9.2,0,100,100,100,0.3,0.1,0.2,100,0.8,100,100,0,1,0.1,0.1,2.8,0,1.2,100,12,1.2,0.5,0,1.4,0.1,31,1.2,5.8,4.1,2,0.5,0.2,0.1,100,100,100,24,100,5.2,0.2,100,100,100,100,100,0,0,0.4,0,3,1.2,100,100,100,100,100,100,27,100,100,6.4,12,4.5,0,0,0,0,1.8,23,5.9,100,100,100,100,0.1,0.2,3.1,0.4,100,8,100,1.2,0.1,0.3,100,100,0,0.3,100,0,0.1,0.3,0,1,2.6,0,2.8,2.8,0.1,0.1,0.1,100,100,100,100,100,100,100,100,100,3.2,100,100,0,100,100,25,0,0.4,100,0.2,0.1,5.2,12,2.6,32,17,2.2,6.5,100,0,0,100,100,100,100,100,2.8,13,9.4,2.5,5.4,0.3,100,100,0,4.6,3.2,0,100,3.6,1.8,0.8,1.6,100,1,0,0,100,100,1.4,100,0.4,4.6,20,100,25,4.1,3,0.3,24,27,0.4,0.5,100,100,0.3,0.6,100,7.3,100,2.5,100,1.8,3.8,3.3,100,100,100,100,100,4.8,30,0.9,9.6,13,2.7,2.2,9.9,100,28,16,100,0.1,0,100,100,100,100,100,100,100,100,100,100,1.3,11,11,9.9,100,0.5,3.2,0.1,100,0,0,28,16,100,13,1,0.1,0,1.3,7.6,100,28,100,0,100,0,2.6,5.3,3.2,18,100,100,100,1,0.5,100,0,0,7.5,0.1,0,0,2.2,12,1.7,2.8,0.1,16,5.8,100,3.4,2.2,0.1,100,0.1,100,0.7,100,0.2,2.7,0,0,100,100,12,0.5,0,12,8.4,0,0,24,0.1,1.1,0,2.2,17,100,0.2,3.1,100,100,10,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
R406,1,26,4.4,0.1,24,4.7,0,2.2,0,2.3,5.1,12,12,4.6,6.3,0.2,100,100,19,1.6,1,0.5,0,0.1,1.5,100,100,0.2,0,5.6,17,0,1.9,2.4,1.2,32,7,12,100,24,100,100,100,14,0,100,100,100,0.2,2.6,2.4,13,0.9,100,100,3.6,0.5,0.3,0.4,1.8,100,28,100,5,100,100,2,2.8,2.2,19,23,33,32,100,100,100,100,100,100,100,34,100,100,23,100,100,24,100,100,14,100,1.4,9.1,5.3,1.9,100,100,100,100,100,100,6.4,1.9,100,0.9,2.2,1.2,7.2,33,1,100,6.8,100,0.1,0.9,100,14,100,2.4,1.9,5.2,0.1,100,100,100,6.3,100,100,32,100,100,2.7,100,0.4,1.7,2.6,0,1.4,1,0.3,1.6,0.1,0,0,5.9,100,100,100,13,100,9.2,100,100,100,14,100,100,2.4,2.2,2,2.7,16,9.2,100,0.4,4.2,0,11,11,30,33,6.2,9.6,100,0.4,1.4,100,100,100,100,100,2.4,13,28,13,100,100,100,100,2,5.5,7.2,0.7,100,15,20,5.4,6,6.1,11,0.3,1,15,0.2,0,24,0.2,0,0.2,100,100,100,0,32,100,100,0.2,100,22,4.4,100,100,100,100,1.2,6.1,0.1,0,0.8,0.7,100,100,100,0,7.5,10,26,2.2,3.4,4.1,0.7,100,12,100,4.6,100,100,31,14,100,100,100,100,29,100,100,100,100,100,4.3,8.2,1.8,1.4,100,1.8,12,6.4,100,0,1.5,28,34,100,17,100,100,23,100,6.8,4.2,100,100,0.3,100,0,0.9,16,0.9,100,7.8,17,100,6.8,0.2,100,1.6,0.1,5.5,0.1,3,16,0.5,26,9.4,0.2,1.6,12,1.4,100,0.3,0.2,8.7,100,100,100,1.4,19,33,3.6,0.3,0.5,10,7.4,26,0.1,0.3,4.5,4.8,3,20,30,0.2,4.6,0,0.2,7.8,1.6,29,100,12,100,0,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
BMS-536924,1,16,2.5,0.2,100,100,0.4,14,6.7,100,23,6.4,100,14,3.2,28,100,100,30,1.8,0.9,0.8,0.9,0.4,2.2,100,100,18,1.8,100,100,0.1,100,7,1.8,100,0,5.7,2.6,100,100,100,10,100,100,100,100,100,0.3,5.4,7.8,2.5,0.1,100,100,25,1.2,1.8,0.3,0.2,100,100,3.4,24,100,100,0.6,8.8,22,100,25,100,100,100,6.6,16,100,100,100,100,100,100,100,100,100,100,100,100,100,100,22,3.2,3.1,100,4.6,100,100,16,100,100,100,4.8,16,100,0.5,3,2.2,27,100,3.5,12,100,0.2,0.1,0.5,100,100,100,7.4,100,21,1.3,100,100,100,31,100,100,100,100,100,100,100,0,2.7,100,0.5,4.3,2.6,1,1.8,9.4,0.2,1.8,1.6,100,100,100,100,100,100,100,100,100,6,100,100,0.5,100,100,5.4,0,0,100,4.6,3.6,33,100,100,100,33,100,100,7,29,0.3,100,100,100,100,100,6,100,11,2,2.4,0.3,100,100,14,2.2,1.2,23,100,0.1,0,7,100,27,4.8,0.5,1.3,7.2,100,33,24,0.2,8.8,0.3,6.5,13,1.8,100,0.1,7.2,3.6,16,12,100,100,27,100,100,21,100,16,100,0.1,2,1.6,100,100,100,100,100,35,100,5.1,5.2,14,0.8,100,100,100,100,100,100,7.4,6.4,100,100,100,100,100,100,100,100,100,100,2.9,3.8,22,16,100,2.6,22,100,100,100,1.8,100,100,100,30,100,100,100,1.8,6.6,100,100,100,0.5,100,0,0.6,23,11,100,100,100,100,100,0.9,100,8.6,17,33,1.6,4,1.8,0,23,5.6,1.6,1,5.3,100,100,0.3,5.8,100,100,100,100,7.2,26,100,33,1,27,100,100,1,0.6,0.2,0,0,31,23,100,22,6.2,0.1,21,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
KIN001-111,1,2.1,0.8,0.1,8.9,5.9,2.2,1,27,100,100,100,100,100,2.4,100,100,100,100,0.2,0.3,0,0.2,0.2,0.7,100,100,2.9,0.1,0.2,14,0,0.7,1,0,2,100,100,100,100,100,100,100,100,100,100,100,100,100,4.8,7.8,34,100,100,100,15,0.8,2.6,1.4,100,100,100,100,1.2,35,22,1.4,23,100,100,100,100,100,100,5.6,100,100,100,100,1.1,100,100,100,100,3.2,100,100,100,100,100,1.4,100,100,100,100,100,14,0.3,100,100,100,100,100,100,100,100,100,100,100,2.8,14,100,0,100,100,100,100,100,0.8,7.7,100,100,100,0.3,100,1.2,24,15,100,100,8.5,100,100,100,0.4,2.4,100,100,100,100,1.3,26,100,100,100,100,100,100,100,100,100,100,100,100,8.3,100,100,100,100,100,100,100,100,100,100,100,100,100,100,26,0.2,0.3,0,100,0,100,100,100,100,100,100,16,15,17,1,20,0.1,100,100,100,100,100,100,100,0.5,0.1,24,2,34,31,5.4,8.3,100,100,100,100,24,25,35,0,0.8,1.9,100,23,4.8,24,100,100,100,100,4.8,7.9,100,14,100,6.4,100,100,100,100,100,3.7,100,100,100,28,100,3.7,28,100,13,6.4,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,24,100,100,100,100,100,100,100,100,19,100,100,100,100,100,100,100,100,100,31,100,100,100,100,0.6,100,100,12,19,100,100,2.4,100,6.8,22,0,100,100,100,100,100,2.8,0,100,100,100,100,100,100,100,5.2,0,34,100,11,13,100,100,13,14,1.6,100,100,100,100,18,8.4,5.8,19,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
XMD-12,1,100,33,12,94,95,5.8,91,68,96,99,83,97,100,100,100,100,100,100,70,35,35,66,50,80,100,88,100,61,86,100,21,100,85,38,100,82,62,88,91,90,45,100,100,78,100,100,100,100,17,31,100,17,100,97,2.4,1.4,22,88,43,61,13,78,89,56,48,100,100,98,91,86,100,88,100,100,98,55,100,100,100,91,100,100,60,100,100,100,100,100,76,81,75,100,97,100,98,77,100,73,80,67,86,58,49,98,100,100,1.8,0.6,68,85,100,100,100,79,100,100,73,100,100,100,100,32,99,92,100,100,100,97,100,0.3,100,100,75,100,100,61,63,62,73,6.6,94,100,100,37,86,81,100,100,88,95,69,72,91,64,89,100,100,79,86,87,80,96,86,82,96,100,100,100,92,100,97,100,100,100,100,100,100,96,95,0.2,0.4,100,80,45,85,85,100,92,59,51,60,66,95,100,100,84,74,100,100,100,77,100,28,8.4,100,91,100,100,90,100,80,94,27,82,27,100,63,80,89,85,73,87,82,93,100,100,96,100,100,91,74,71,100,100,100,81,37,97,100,87,100,90,100,97,100,100,95,100,89,100,98,94,58,4.2,70,91,100,100,100,75,100,100,100,100,92,50,100,97,1.8,100,99,100,92,98,99,69,100,95,100,93,100,78,91,15,90,63,82,100,66,61,89,86,35,46,5.4,79,61,100,23,87,100,100,84,59,75,96,100,62,61,58,0.9,0.6,1.2,100,100,97,73,100,59,72,69,100,83,1,29,64,36,100,78,100,16,6.2,77,97,100,70,100,100,96,38,87,3.2,3.6,78,100,47,100,89,96,100,93,2.2,100,100,75,64,63,95,62,27,79,27,100,100,61,56,89,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Canertinib,1,100,100,10,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,25,100,100,100,100,100,100,100,100,100,30,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,0,100,100,100,100,9.6,100,0.8,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,5.4,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,34,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,23,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,29,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
KIN001-123,1,23,100,3.4,100,100,14,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,32,100,100,100,100,20,23,100,9.8,100,1.8,17,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,16,27,100,100,100,0.3,100,100,3.7,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,5.6,100,100,100,100,100,100,1.6,100,100,100,100,100,29,100,100,100,100,100,100,17,100,100,17,28,0.6,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,0.9,14,100,3.8,100,100,100,100,100,15,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,2.9,100,100,27,27,100,100,100,100,100,100,100,100,100,100,100,17,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,30,100,100,100,100,100,100,100,100,100,100,100,100,21,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,12,100,100,100,100,100,100,100,100,100,100,100,100,22,100,0.4,100,100,100,100,100,100,100,100,100,100,100,100,100,0.6,9,4.7,100,100,100,22,100,100,100,100,100,100,100,100,100,100,2,100,100,100,36,100,100,100,100,100,100,100,100,100,5,100,100,100,100,20,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
